"conversion_id","offer_id","status","sub1","sub2","revenue","time_utc"
"27e92b69a30845c895e100f65038af64",,,"bad","","32","21/10/2025 14:52:48"
"12e0fb0def9d4cc688e3630b24add6ac",,,"tito","","32","21/10/2025 14:54:51"
"33a2899b510a42dbaf1a1036e45277dc",,,"kel","","32","21/10/2025 14:57:52"
"53bc73403c994d7f9b4737a0c885389d",,,"bad","","32","21/10/2025 14:58:46"
"1ad05d8687c7414e99a1a06720db089d",,,"bad","","32","21/10/2025 15:01:29"
"58cc06accde74875bc6337ff2e8ca563",,,"bad","","32","21/10/2025 15:02:18"
"d1f2c6b992b14d87940b95534227feee",,,"bad","","32","21/10/2025 15:02:26"
"e8e0f0e430334b20a2651d8f2b809d04",,,"bad","","32","21/10/2025 15:03:45"
"050475fdf4f84fee8a2c956b204e1a8e",,,"bad","","32","21/10/2025 15:04:07"
"3b4db2c9749a4b25a31280395cd861b8",,,"kel","","32","21/10/2025 15:11:56"
"496d016b3c864c9099c33a774c164289",,,"bad","","32","21/10/2025 15:12:48"
"7b1fc634d61f433691e7858a3a6b48cc",,,"llllico","","32","21/10/2025 15:18:49"
"b2600301c6b14a76aaff91afd48c3f00",,,"tito","","32","21/10/2025 15:25:28"
"ea273a97ec1e4c54af041637452d9d85",,,"elon","","32","21/10/2025 15:34:08"
"469a5744003f432ebfa00480f5ab6621",,,"bad","","32","21/10/2025 15:35:50"
"53e1e59b776442b68a48bb67f5dab34f",,,"bad","","32","21/10/2025 15:36:59"
"4048a2adc19d4e92885d1b3b9fa0d6b1",,,"bad","","32","21/10/2025 15:39:29"
"94d822938b9d48b4976bd28cfc80e7bf",,,"bad","","32","21/10/2025 15:43:22"
"e81b96fd271a43fe9232e30e7fa90a98",,,"bad","","32","21/10/2025 15:44:53"
"a3fa35c1ac824e46b0afa90ca8a2a9fd",,,"llico","","32","21/10/2025 15:45:38"
"3fef03b2853244e0a601dce188eec29c",,,"bad","","32","21/10/2025 15:46:59"
"d5f4ecd2230a45b5a891487ed7db400a",,,"kel","","32","21/10/2025 15:47:28"
"c457c079d4b84ff2b142b636be8bf53c",,,"bad","","32","21/10/2025 15:49:16"
"17eff4e74c12425aa14498a6139220bc",,,"tito","","32","21/10/2025 15:51:03"
"9bf9251875e44e2285a804e5594c0cea",,,"bad","","32","21/10/2025 15:51:21"
"d990173749cc4ae58255c790f7e5a00c",,,"bad","","32","21/10/2025 15:51:55"
"5a3df60b55b649ff9ed89a2045939f17",,,"bad","","32","21/10/2025 15:52:20"
"7ef78d8913c741d3891852a7f1af28ee",,,"bad","","32","21/10/2025 15:53:06"
"c95e096dc2914841ab7b7c5fce0302d6",,,"bad","","32","21/10/2025 15:53:19"
"6687f6fd3bea4671b095b3dad996b695",,,"bad","","32","21/10/2025 15:54:06"
"36c7fab55366401c817b667b44ea1b7d",,,"bad","","32","21/10/2025 15:54:16"
"32952c0c22eb4689a76363858d7f088c",,,"bad","","32","21/10/2025 15:55:21"
"3aa7c8dd593547cea1b6dcb03d41420a",,,"bad","","32","21/10/2025 15:56:24"
"e23a233b0c574bcd9d7e5e83b6817b44",,,"ran","","32","21/10/2025 15:56:36"
"a86415b96b7b48ce91478166fbcff2ef",,,"lllico","","32","21/10/2025 15:57:21"
"f319c7374f6b4763b12f6c570f52caeb",,,"bad","","32","21/10/2025 15:57:54"
"3b946ca3a78749dab50f365678f86d9e",,,"bad","","32","21/10/2025 15:58:29"
"ded5880566144027b1aae5d80c74dacc",,,"bad","","9","21/10/2025 15:59:24"
"2bb4740156124ad2bb0f7af7176732c3",,,"bad","","32","21/10/2025 15:59:25"
"195c737f90894fd5926a759c387688e3",,,"bad","","32","21/10/2025 16:00:44"
"18e6e9119fbf4c74aa949bf58b937d2b",,,"bad","","32","21/10/2025 16:01:13"
"bc7f862deb1c4257ba8c2a50d4b8c7e2",,,"bad","","32","21/10/2025 16:01:14"
"8c8f78dee15b46ba9835965637bf3f1d",,,"bad","","32","21/10/2025 16:02:40"
"8c09d257a69e45cf82ae2f7a10906d42",,,"bad","","32","21/10/2025 16:02:57"
"e5f75ab2bc664eb79e8186a5c0a2a046",,,"bad","","32","21/10/2025 16:03:11"
"bd48b93ea8fe48859212e5e97131bfc2",,,"bad","","32","21/10/2025 16:04:09"
"6d5565acd7a3475fa20241cabf511194",,,"bad","","32","21/10/2025 16:04:23"
"2631b2ce00b44acdbb8e89fd864c4004",,,"bad","","32","21/10/2025 16:04:34"
"24ff63675d3e4ae5b81b4a08a157bb67",,,"bad","","32","21/10/2025 16:07:47"
"757548ada1bc415bb95710e7f7eec632",,,"bad","","32","21/10/2025 16:08:00"
"0f54a2162dd44706960cc8ca3bcae1f1",,,"bad","","32","21/10/2025 16:09:47"
"605140c2a8644c4880578d1fe5008267",,,"bad","","32","21/10/2025 16:20:57"
"23c494652e07437a83621bfe26baa433",,,"lllico","","32","21/10/2025 16:47:36"
"1dd9efcb1d0e4ca293034efd872b3599",,,"tito","","32","21/10/2025 17:12:37"
"d832e8a32ec64a43830ce08059e1870e",,,"tito","","32","21/10/2025 17:12:40"
"0d8b0d5dc98d4e2ebedf30a187b115f3",,,"bad","","32","21/10/2025 17:13:12"
"5cbda092e8924cb7932a3d1caf1877fc",,,"tito","","32","21/10/2025 17:14:41"
"d5bcb53a86c3418798d499176c2357d0",,,"bad","","32","21/10/2025 17:15:56"
"58c8802f13d6402e89e152f59109d84b",,,"bad","","32","21/10/2025 17:16:12"
"75b27374e497445fb632b0868407a7f6",,,"bad","","32","21/10/2025 17:16:55"
"f6f047e4dfc545939248fb51ee9a0244",,,"bad","","32","21/10/2025 17:17:00"
"54f5b6b192fe47b39e8610e4c71bc527",,,"tito","","32","21/10/2025 17:19:51"
"1ef10bcae0e74ded8ee893c4d6de881b",,,"llico","","32","21/10/2025 17:20:00"
"6b1ba7cf991b4beeb48b77f23a7d0d25",,,"bad","","32","21/10/2025 17:20:25"
"ea06585d81074d7faf8b6f11e10dd6cc",,,"bad","","32","21/10/2025 17:21:11"
"d3dade730e4747ababa36373f9e799a5",,,"bad","","32","21/10/2025 17:22:14"
"fca3240f3b954126803192cef5bf56ea",,,"bad","","32","21/10/2025 17:24:39"
"06fb1fa4794845e29552dfd961ee7406",,,"bad","","32","21/10/2025 17:26:28"
"d6b115ba641948a298e78bd8f790db23",,,"bad","","32","21/10/2025 17:27:17"
"3b651a22757c483d9fe88670e6a781fb",,,"bad","","32","21/10/2025 17:27:54"
"53793947542847258b099f4fd6613614",,,"bad","","32","21/10/2025 17:34:44"
"ed4c0e88a0804a4fa076348c4dc5a181",,,"lllico","","32","21/10/2025 17:38:44"
